Size,Price,YearBuilt,RoofStyle
11,22190,2003,Gable
25,53800,2022,Gable
7,18000,2001,Gable
19,60400,2022,Gable
16,51000,2000,Gable
17,25750,2004,Gable
10,29185,2040,Gable
17,22950,2040,Gable
18,32300,2025,Gable
11,46800,2005,Hip
13,40000,2006,Gable
29,65000,1929,Gable
18,39500,1970,Gable
16,48500,2040,Gable
12,18900,2004,Gable
12,23000,2020,Hip
16,38500,2005,Gable
30,200000,2020,Gable
22,28500,2002,Hip
10,25270,2022,Gable
24,32900,2040,Gable
17,23300,2007,Gable
14,66700,2007,Gable
15,43800,2030,Gable
25,71900,2030,Gable
23,58050,2030,Gambrel
11,28000,1966,Gable
23,68750,2007,Gable
10,53500,1959,Hip
20,32250,2005,Hip
16,55000,1994,Gable
66,60500,1955,Gable
