Amount,Status,FamilyStatus,Duration,Interest,Installment
42750,Working,Civil marriage,6,0.1189,829.1
42750,Working,Civil marriage,48,0.1071,228.22
11250,Working,Married,12,0.1357,366.86
27000,Commercial associate,Singlenot married,42,0.1008,162.34
27000,Commercial associate,Singlenot married,24,0.1426,102.92
27000,Commercial associate,Singlenot married,36,788,125.13
27000,Commercial associate,Singlenot married,24,0.1496,194.02
28350,Pensioner,Separated,36,0.1114,131.22
28350,Pensioner,Separated,12,0.1134,87.19
28350,Pensioner,Separated,30,0.1221,84.12
27000,Working,Married,12,0.1347,360.43
27000,Working,Married,48,0.1324,253.58
27000,Working,Married,12,859,316.11
13500,Commercial associate,Married,24,714,92.82
13500,Commercial associate,Married,15,863,209.54
13500,Commercial associate,Married,24,0.1103,327.53
13500,Commercial associate,Married,24,0.1317,77.69
13500,Commercial associate,Married,30,894,476.58
13500,Commercial associate,Married,24,0.1039,584.12
13050,Working,Married,24,0.1513,173.65
13050,Working,Married,9,8,188.02
15750,Working,Married,6,863,474.42
15750,Working,Married,10,0.1355,339.6
15750,Working,Married,12,788,484.85
11250,Working,Singlenot married,10,0.1229,320.19
11250,Working,Singlenot married,6,901,159.03
11250,Working,Singlenot married,6,743,155.38
27000,Working,Married,12,0.1375,255.43
27000,Working,Married,7,743,155.38
40500,Commercial associate,Married,60,743,155.38
40500,Commercial associate,Married,18,807,156.84
40500,Commercial associate,Married,24,0.1028,275.38
40500,Commercial associate,Married,18,743,155.38
40500,Commercial associate,Married,12,807,78.42
40500,Commercial associate,Married,12,87,158.3
11250,Commercial associate,Married,45,743,155.38
11250,Commercial associate,Married,48,743,155.38
11250,Commercial associate,Married,18,0.1122,164.23
11250,Commercial associate,Married,10,996,161.25
11250,Commercial associate,Married,9,933,159.77
11250,Commercial associate,Married,30,807,156.84
11250,Commercial associate,Married,12,743,155.38
11250,Commercial associate,Married,18,87,94.98
11250,Commercial associate,Married,30,0.1028,97.2
11250,Commercial associate,Married,48,0.1122,164.23
11250,Commercial associate,Married,11,838,167.02
13500,Working,Married,36,775,168.6
13500,Working,Married,6,838,160.72
13500,Working,Married,11,901,159.03
13500,Working,Married,12,743,178.69
13500,Working,Married,24,743,155.38
13500,Working,Married,27,0.1028,323.98
13500,Working,Married,12,0.1059,813.65
13500,Working,Married,18,996,112.87
13500,Working,Married,36,0.1596,94.88
13500,Working,Married,6,0.1059,398.69
13500,Working,Married,12,0.1154,39.6
13500,Working,Married,36,0.1343,678.08
13500,Working,Married,18,0.1249,401.37
13500,Working,Married,36,964,205.45
13500,Working,Married,9,0.1186,397.75
13500,Working,Married,15,743,155.38
21150,State servant,Civil marriage,36,0.1028,113.39
21150,State servant,Civil marriage,48,0.1186,99.44
36000,Commercial associate,Married,24,807,109.79
36000,Commercial associate,Married,27,0.1059,32.55
12600,Commercial associate,Married,12,996,112.87
12600,Commercial associate,Married,12,964,160.51
12600,Commercial associate,Married,36,0.1375,340.57
12600,Commercial associate,Married,36,775,156.11
12600,Commercial associate,Married,36,743,155.38
12600,Commercial associate,Married,7,807,235.25
12600,Commercial associate,Married,8,996,257.99
12600,Commercial associate,Married,42,0.1501,225.37
12600,Commercial associate,Married,36,964,80.26
12600,Commercial associate,Married,12,0.128,84
31500,Pensioner,Widow,42,0.1122,507.46
24750,Commercial associate,Separated,11,743,124.31
24750,Commercial associate,Separated,54,87,63.32
24750,Commercial associate,Separated,30,0.1091,130.79
24750,Commercial associate,Separated,24,775,93.67
